Time	I_src_A	I_src_B	I_src_C
4.04345  	2.24268	0.494955	0.127802
4.0435  	1.95659	0.492539	0.136017
4.04355  	1.67001	0.490022	0.144221
4.0436  	1.38299	0.487381	0.152385
4.04365  	1.09556	0.484604	0.160496
4.0437  	0.807868	0.481736	0.168596
4.04375  	0.519911	0.478719	0.176624
4.0438  	0.231802	0.475604	0.184629
4.04385  	-0.0563817	0.47237	0.192586
4.0439  	-0.34462	0.469002	0.200479
4.04395  	-0.632765	0.465547	0.208351
4.044  	-0.920818	0.461949	0.216143
4.04405  	-1.20867	0.458255	0.2239
4.0441  	-1.49623	0.454446	0.231601
4.04415  	-1.7835	0.450509	0.239227
4.0442  	-2.07032	0.446489	0.246823
4.04425  	-2.35668	0.442331	0.25433
4.0443  	-2.6425	0.43808	0.261791
4.04435  	-2.92767	0.433722	0.269188
4.0444  	-3.21219	0.429239	0.276501
4.04445  	-3.4959	0.424679	0.283773
4.0445  	-3.77882	0.419986	0.290949
4.04455  	-4.06082	0.415206	0.298068
4.0446  	-4.34184	0.410324	0.305116
4.04465  	-4.62185	0.405323	0.31207
4.0447  	-4.90071	0.40025	0.318975
4.04475  	-5.17842	0.395052	0.325775
4.0448  	-5.45488	0.389772	0.332509
4.04485  	-5.73	0.384397	0.339163
4.0449  	-6.00377	0.378909	0.345716
4.04495  	-6.27606	0.373355	0.35221
4.045  	-6.54685	0.367684	0.358592
4.04505  	-6.81605	0.361935	0.3649
4.0451  	-7.08358	0.3561	0.37112
4.04515  	-7.34942	0.350159	0.377231
4.0452  	-7.61344	0.344159	0.383275
4.04525  	-7.87564	0.338048	0.3892
4.0453  	-8.13592	0.331868	0.395041
4.04535  	-8.3942	0.325609	0.40079
4.0454  	-8.65047	0.319251	0.40642
4.04545  	-8.9046	0.312841	0.411977
4.0455  	-9.15658	0.30633	0.417408
4.04555  	-9.40633	0.299755	0.422748
4.0456  	-9.65377	0.293111	0.427989
4.04565  	-9.89888	0.286375	0.433104
4.0457  	-10.1415	0.279595	0.438139
4.04575  	-10.3818	0.272723	0.443043
4.0458  	-10.6194	0.265794	0.447849
4.04585  	-10.8545	0.258806	0.45255
4.0459  	-11.0869	0.251733	0.457119
4.04595  	-11.3166	0.244625	0.461601
4.046  	-11.5436	0.237435	0.465948
4.04605  	-11.7677	0.230195	0.470189
4.0461  	-11.989	0.222905	0.474321
4.04615  	-12.2073	0.215541	0.478315
4.0462  	-12.4226	0.208148	0.482218
4.04625  	-12.6349	0.200683	0.48598
4.0463  	-12.8441	0.193177	0.489631
4.04635  	-13.0502	0.185631	0.493168
4.0464  	-13.253	0.178019	0.496563
4.04645  	-13.4527	0.170388	0.499861
4.0465  	-13.649	0.162695	0.503016
4.04655  	-13.842	0.154969	0.506054
4.0466  	-14.0315	0.147213	0.508975
4.04665  	-14.2177	0.139401	0.51175
4.0467  	-14.4004	0.131578	0.514424
4.04675  	-14.5795	0.123704	0.516951
4.0468  	-14.7551	0.115806	0.519358
4.04685  	-14.927	0.107888	0.521645
4.0469  	-15.0953	0.0999231	0.523783
4.04695  	-15.2599	0.0919576	0.525815
4.047  	-15.4207	0.0839511	0.5277
4.04705  	-15.5778	0.0759292	0.52946
4.0471  	-15.731	0.0678983	0.531099
4.04715  	-15.8804	0.0598299	0.532586
4.0472  	-16.0259	0.0517704	0.533965
4.04725  	-16.1675	0.0436808	0.535196
4.0473  	-16.3051	0.0355847	0.536298
4.04735  	-16.4386	0.0274902	0.537279
4.0474  	-16.5682	0.0193681	0.538106
4.04745  	-16.6937	0.0112644	0.538824
4.0475  	-16.8151	0.0031415	0.539392
4.04755  	-16.9324	-0.00497877	0.539831
4.0476  	-17.0455	-0.0130869	0.540147
4.04765  	-17.1544	-0.0212127	0.540309
4.0477  	-17.2591	-0.0293105	0.54036
4.04775  	-17.3596	-0.0374168	0.540263
4.0478  	-17.4558	-0.0455112	0.540035
4.04785  	-17.5477	-0.053583	0.539685
4.0479  	-17.6354	-0.0616623	0.539181
4.04795  	-17.7186	-0.0697044	0.538566
4.048  	-17.7976	-0.077744	0.537804
4.04805  	-17.8722	-0.0857627	0.53691
4.0481  	-17.9423	-0.0937482	0.535896
4.04815  	-18.0081	-0.101731	0.534729
4.0482  	-18.0695	-0.109668	0.533452
4.04825  	-18.1264	-0.117591	0.532029
4.0483  	-18.1789	-0.125485	0.530476
4.04835  	-18.2268	-0.133335	0.528804
4.0484  	-18.2704	-0.141173	0.526981
4.04845  	-18.3094	-0.148955	0.525049
4.0485  	-18.3439	-0.156714	0.522974
4.04855  	-18.374	-0.164433	0.520771
4.0486  	-18.3995	-0.1721	0.518452
4.04865  	-18.4205	-0.179744	0.515984
4.0487  	-18.4369	-0.187324	0.513409
4.04875  	-18.4489	-0.194869	0.510696
4.0488  	-18.4563	-0.202368	0.507856
4.04885  	-18.4591	-0.209803	0.504903
4.0489  	-18.4575	-0.217206	0.501806
4.04895  	-18.4513	-0.224537	0.498605
4.049  	-18.4405	-0.231823	0.495269
4.04905  	-18.4253	-0.239054	0.49181
4.0491  	-18.4055	-0.246212	0.488242
4.04915  	-18.3812	-0.253329	0.484535
4.0492  	-18.3523	-0.260365	0.480726
4.04925  	-18.319	-0.267348	0.476789
4.0493  	-18.2811	-0.274266	0.472732
