Time	I_src_A	I_src_B	I_src_C
1.9298	-0.0330607	-0.366159	0.39922
1.92985	-0.0261156	-0.370034	0.39615
1.9299	-0.0191642	-0.373818	0.392982
1.92995	-0.012208	-0.377509	0.389717
1.93	-0.00524881	-0.381107	0.386356
1.93005	0.00171168	-0.384612	0.3829
1.9301	0.00867174	-0.388021	0.379349
1.93015	0.0156297	-0.391335	0.375705
1.9302	0.0225837	-0.394552	0.371968
1.93025	0.0295322	-0.397672	0.36814
1.9303	0.0364735	-0.400693	0.36422
1.93035	0.0434057	-0.403616	0.360211
1.9304	0.0503272	-0.406439	0.356112
1.93045	0.0572363	-0.409162	0.351926
1.9305	0.0641312	-0.411784	0.347653
1.93055	0.0710104	-0.414305	0.343294
1.9306	0.077872	-0.416723	0.338851
1.93065	0.0847144	-0.419038	0.334324
1.9307	0.0915359	-0.42125	0.329714
1.93075	0.0983348	-0.423358	0.325023
1.9308	0.105109	-0.425361	0.320252
1.93085	0.111858	-0.42726	0.315402
1.9309	0.118579	-0.429053	0.310474
1.93095	0.125271	-0.43074	0.305469
1.931	0.131932	-0.432321	0.300389
1.93105	0.138561	-0.433796	0.295235
1.9311	0.145155	-0.435163	0.290008
1.93115	0.151713	-0.436423	0.28471
1.9312	0.158234	-0.437575	0.279341
1.93125	0.164716	-0.43862	0.273904
1.9313	0.171157	-0.439556	0.268398
1.93135	0.177556	-0.440383	0.262827
1.9314	0.183912	-0.441102	0.257191
1.93145	0.190221	-0.441712	0.251491
1.9315	0.196484	-0.442213	0.245729
1.93155	0.202699	-0.442606	0.239907
1.9316	0.208863	-0.442888	0.234025
1.93165	0.214976	-0.443062	0.228086
1.9317	0.221036	-0.443126	0.22209
